,8:00,9:00,10:00,11:00,12:00,13:00,14:00
2017-01-27,0,1,1,1,1,1,1
2017-01-31,0,1,1,1,1,1,1
2017-02-08,0,1,1,1,1,1,1
2017-02-15,0,1,1,1,1,1,1
2017-02-17,0,1,1,1,1,1,0
2017-02-23,0,1,1,1,1,1,1
2017-03-03,0,1,1,1,1,1,0
2017-03-06,0,1,1,1,1,1,1
2017-03-07,0,1,1,1,1,1,1
2017-03-08,0,1,1,1,1,1,1
2017-03-09,0,1,1,1,1,1,0
2017-03-10,0,1,1,1,1,1,1
2017-03-16,0,1,1,1,1,1,1
2017-03-20,0,1,1,1,1,1,1
2017-03-29,0,1,1,1,1,1,1
2017-03-30,0,1,1,1,1,1,1
2017-03-31,0,1,1,1,1,1,1
2017-04-04,0,1,1,1,1,1,1
2017-04-11,0,1,1,1,1,1,1
2018-01-22,0,1,1,1,1,1,1
2018-01-24,0,1,1,1,1,1,1
2018-01-26,0,1,1,1,1,1,1
2018-01-29,0,0,1,1,1,1,1
2018-01-31,0,0,1,1,1,1,1
2018-02-07,0,0,1,1,1,1,1
2018-02-09,0,0,1,1,1,0,0
2018-02-12,0,1,1,1,1,1,1
2018-02-14,0,1,1,1,1,0,0
2018-02-16,1,1,1,1,1,0,0
2018-02-21,0,1,1,1,1,1,1
2018-02-23,0,1,0,,0,0,0
2018-02-26,0,1,1,1,1,1,1
2018-02-28,0,1,1,1,1,1,1
2018-03-06,0,1,1,1,1,0,0
2018-03-07,0,1,1,1,1,1,1
2018-03-09,0,1,1,1,1,1,0
2018-03-14,0,1,1,1,1,1,1
2018-03-16,0,1,1,1,1,1,1
2018-03-19,0,1,1,1,1,1,1
2018-03-21,0,1,1,1,1,1,1
2018-03-23,0,1,1,1,1,1,0
2018-03-27,0,1,1,1,1,1,1
2018-03-30,0,1,1,1,1,0,0
2018-04-02,0,1,1,1,0,0,0
2018-04-06,0,1,1,1,1,1,1
2018-04-09,0,1,1,1,1,0,0
2018-12-21,1,1,1,1,1,1,1
2019-01-08,1,1,1,1,1,1,1
2019-01-11,1,1,1,1,1,1,0
2019-01-16,1,1,1,1,1,1,1
2019-01-22,1,1,1,1,1,1,1
2019-02-03,1,1,1,1,1,1,1
2019-02-08,1,1,1,1,1,0,0
2019-02-13,0,1,1,1,1,1,0
2019-02-28,1,1,1,1,1,0,0
2019-03-05,1,1,1,1,0,0,0
2019-03-12,1,1,1,1,1,1,1
2019-03-27,1,1,1,1,1,1,1
2019-04-03,1,1,1,1,1,1,0
2019-04-09,1,1,1,1,0,0,0
2019-04-16,1,1,1,1,1,1,1
2019-04-24,1,1,1,1,1,1,0
2019-12-11,1,1,1,1,1,1,1
2020-01-15,1,0,0,0,0,0,0
2020-01-16,1,1,1,1,1,1,1
2020-01-22,1,1,1,1,1,1,0
2020-01-29,1,1,1,1,1,1,1
2020-02-05,1,1,1,1,1,1,1
2020-02-12,1,1,1,1,1,1,1
2020-02-23,1,1,1,1,1,0,0
2020-03-03,1,1,1,1,1,1,1
2020-03-11,1,1,1,1,0,0,0
2020-03-19,1,1,1,1,1,0,0
2020-03-24,0,1,0,0,0,0,0